"string";"# total labels";"total labels";"# unique labels";"unique labels"
"gfp localisation in roots";"0";"";"0";""
"Potential role of cerebral blood volume images
for aiding in diagnosis of Alzheimerâs disease.
Cerebral blood volume map obtained using T2*-
weighted perfusion imaging is shown in 83-year-old
woman with probable Alzheimerâs disease and Mini-
Mental State Examination score of 11 (normal, ? 27.6). Cerebral blood volume in temporoparietal regions (outlined in white) measured approximately 65% of reference cerebral blood volume in cerebellum in this patient (compared with mean of 112% in healthy control subjects), indicating diminished cerebral blood volume in same regions that are generally seen in Alzheimerâs disease patients studied with positron
emission tomography and SPECT.";"49";"disease, disease, disease, and, and, cerebellum, are, blood, blood, blood, blood, blood, score, reference, diagnosis, patient, state, control, volume, volume, volume, volume, volume, emission, white, for, mean, healthy control, map, measured, normal, old, positron, potential, volume, volume, volume, volume, volume, role, same, state, tomography, white, with, with, with, woman, year";"32";"disease, and, cerebellum, are, blood, score, reference, diagnosis, patient, state, control, volume, emission, white, for, mean, healthy control, map, measured, normal, old, positron, potential, volume, role, same, state, tomography, white, with, woman, year"
"Four examples of cellular distortions (red) in processes proximal to dense-core plaques labeled with thioflavine- S (blue). 
A: A process with a high curvature near a plaque.
B: As a process approaches plaque it appears to possess bulbous outgrowths while being deflected. 
C: Two processes intersect with a dextran clump adjacent to a plaque. 
D: As process goes around plaque it intersects with another clump and appears distorted in its lower segment. 
Scalebar =  10 µm.";"32";"adjacent, and, as, as, process, process, process, blue, core, dense, four, high, labeled, lower, lower, near, plaque, plaque, plaque, plaque, possess, proximal, red, segment, to, to, to, two, with, with, with, with";"21";"adjacent, and, as, process, blue, core, dense, four, high, labeled, lower, lower, near, plaque, possess, proximal, red, segment, to, two, with"
"Treatment of cortical neurons with fibrillar AÃ induces tau proteolysis at Asp421.
Primary cultures of cortical neurons prepared from embryonic day-18 rats were treated with 10 ÂµM fibrillar A(1â42) for 0â24 h, and lysates were immunoblotted with TauC3 (Upper) or PARP (Lower) mAbs.";"17";"proteolysis, tau, and, at, day, embryonic, for, from, lower, lower, or, primary, upper, with, with, with, proteolysis";"15";"proteolysis, tau, and, at, day, embryonic, for, from, lower, lower, or, primary, upper, with, proteolysis"
"SsgC-GFP";"0";"";"0";""
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 9C:
Expression of GS in serial sections of
the liver of a dexamethasone-treated GRE/RPII mouse. GS mRNA identifies the hepatocytes surrounding the central vein.";"19";"gene, liver, liver, gene expression, dexamethasone, and, vein, model, development, central vein, development, expression, expression, for, maintenance, model, mouse, surrounding, gene expression";"17";"gene, liver, gene expression, dexamethasone, and, vein, model, development, central vein, development, expression, for, maintenance, model, mouse, surrounding, gene expression"
"Truncation of tau at Asp421 increases the rate and extent of tau filament assembly in vitro. 
Representative electron micrographs of tau filaments assembled in vitro by recombinant WT tau proteins. 
(Bar = 200 nm.)";"13";"tau, tau, tau, tau, and, assembly, assembly, at, rate, electron, extent, in vitro, in vitro";"9";"tau, and, assembly, assembly, at, rate, electron, extent, in vitro"
"A cortical neuron from a control (C57) mouse labeled with AlexaFluor594 dextran. 
(No differences were observed in the extent of
labeled neurons between control and transgenic mice.)
Scale bar = 25 µm.";"14";"neuron, and, between, scale, control, control, extent, from, labeled, labeled, mouse, no, observed, with";"12";"neuron, and, between, scale, control, extent, from, labeled, mouse, no, observed, with"
"Reassembly of microtubules after removal of nocodazole restores the clustering of mitochondria. The microtubule cytoskeleton
of tau-transfected CHO cells was disrupted by addition of 5 mM nocodazole for 3 h. Pictures of living cells were then taken after removal
of nocodazole and reassembly of microtubules
at the indicated time points. Mitochondria were
stained with MitoTrackerÂª green. Note that, concomitant with microtubule reassembly, the phenotype of mitochondrial clustering at the MTOC near the nucleus begins to reappear after z1 h. The cell periphery is outlined for clarity. Bar, 10 mm.";"34";"nucleus, cytoskeleton, tau, and, cell, at, at, time, microtubule, microtubule, cho cells, cell, concomitant, phenotype, for, for, green, near, nocodazole, nocodazole, nocodazole, note, taken, then, to, with, with, cytoskeleton, microtubule cytoskeleton, cell, nucleus, microtubule, microtubule, cell periphery";"27";"nucleus, cytoskeleton, tau, and, cell, at, time, microtubule, cho cells, cell, concomitant, phenotype, for, green, near, nocodazole, note, taken, then, to, with, cytoskeleton, microtubule cytoskeleton, cell, nucleus, microtubule, cell periphery"
"Effect of DSP4 treatment on plaque number. H6 male mice were chronically treated with DSP4 (5 mg/kg; beginning at age 3â4 months). After 6 months treatment (at age 8â9 months), serial sagital brain sections (separated by 210Âµm) were prepared from vehicle- and DSP4-treated mice (n = 6 each), stained using AÃ1-42 specific rabbit polyclonal antibody FCA3542 (Calbiochem; 1:1000 dilution), and visualized with HRP-conjugated secondary antibody and DAB. Representative sections from vehicle (A, containing 19 plaques) and DSP4-treated (B, containing 64 plaques) mice are shown. Bar size is 500Âµm. Plaque
burden (number and area stained) was quantified using Axiovision 4.5 Measurement Wizard software. Sections were viewed at 100Ã using a 10Ã objective, and the average plaque number (C) and % area stained (D, relative to the total section area of 21mm2) per section determined (n = 8 sections per animal). The data was analyzed by two-tailed T-test assuming equal variances; *P < 0.05. (E) The relative size distribution for all plaques detected in vehicle (n = 626) and
DSP4-treated (n = 3009) brain sections is shown. The insert expands the range from 1000 to 12,000ÂµM2 to show increased number of larger-sized plaques in DSP4 samples. In DSP4 sections, 16/3009 plaques were >5000ÂµM2 vs. 1/626 in the vehicle sections.";"71";"brain, brain, data, number, number, number, number, age, age, all, relative, relative, and, and, and, and, and, and, and, and, animal, antibody, antibody, are, area, area, area, at, at, at, average, burden, rabbit, male, section, section, distribution, range, each, effect, size, size, for, from, from, from, section, section, insert, measurement, objective, objective, t-test, per, per, plaque, plaque, plaque, polyclonal antibody, secondary, section, section, separated, test, to, to, to, total, two, with, with";"41";"brain, data, number, age, all, relative, and, animal, antibody, are, area, at, average, burden, rabbit, male, section, distribution, range, each, effect, size, for, from, section, insert, measurement, objective, objective, t-test, per, plaque, polyclonal antibody, secondary, section, separated, test, to, total, two, with"
"Immunohistochemical staining of a fibrillar cerebellar senile plaque from AD cerebellum for syndecan-2 (mAb 10H4).
The antibody strongly stained the fibrillar cerebellar senile plaque. 
bar = 25Âµm

(Referentie: Accumulation of heparan sulfate proteoglycans in cerebellar senile plaques -- Jack van Horssen, Johanneke Kleinnijenhuis, Cathy N. Maass, Annemieke A.M. Rensinka, Irene Otte-Hollera, Guido David, Lambert P.W.J. van den Heuvel, Pieter Wesseling, Robert M.W. de Waal, Marcel M. Verbeek)";"10";"cerebellum, antibody, for, from, heparan sulfate, plaque, plaque, staining, syndecan, syndecan";"9";"cerebellum, antibody, for, from, heparan sulfate, plaque, staining, syndecan, syndecan"
"Domain structure of tau isoforms and constructs. Tau40 is the longest tau isoform in the human CNS, occurring mostly in axons (Goedert et al., 1989). It consists of 441 amino acid residues and can be divided into an NH2-terminal projection domain and a COOH-terminal microtubule binding domain containing four imperfect repeats (R1ÃR4) and basic proline-rich sequences on either side that act as microtubule targeting domains (shaded dark, P1, and P2). The repeats show high homology between tau, MAP2, and MAP4. The shaded NH2-terminal inserts and repeat two can be alternatively spliced, resulting in six different tau isoforms. The predominantly embryonic isoform tau23 lacks all three inserts (352 residues). Tau constructs K12 and K10 are derived from tau23, they contain three repeats plus either a COOHterminal flanking region (K12) or the whole COOH-terminal tail (K10). K35 contains three repeats and the basic proline-rich regions on either side, including the COOH-terminal tail. K23 contains all of tau23 except the repeats.";"71";"human, acid, domain, domain, domain, tau, tau, tau, tau, tau, all, all, amino acid, and, and, and, and, and, and, and, and, and, are, as, be, be, between, binding, microtubule, microtubule, can, can, region, contain, embryonic, four, from, high, homology, into, isoform, isoform, longest, or, projection, proline, proline, repeat, side, side, side, side, six, structure, tail, tail, targeting, terminal, terminal, terminal, terminal, terminal, three, three, three, two, whole, binding, microtubule, microtubule, microtubule binding";"41";"human, acid, domain, tau, all, amino acid, and, are, as, be, between, binding, microtubule, can, region, contain, embryonic, four, from, high, homology, into, isoform, longest, or, projection, proline, repeat, side, side, six, structure, tail, targeting, terminal, three, two, whole, binding, microtubule, microtubule binding"
"Detailed view of CHO cell.
M=Mitochondria
P=Nuclear Pore
R=Free Ribosome
RER=Rough Endoplasmic Reticulum";"15";"endoplasmic reticulum, ribosome, cell, cell, rough endoplasmic reticulum, free ribosome, view, nuclear, nuclear pore, pore, ribosome, endoplasmic reticulum, cell, nuclear pore, rough endoplasmic reticulum";"15";"endoplasmic reticulum, ribosome, cell, cell, rough endoplasmic reticulum, free ribosome, view, nuclear, nuclear pore, pore, ribosome, endoplasmic reticulum, cell, nuclear pore, rough endoplasmic reticulum"
"PIB standardized uptake value (SUV) images demonstrate a marked difference between PIB retention in Alzheimerâs disease (AD) patients and healthy control (HC) subjects. PET images of a 67-year-old HC subject (left) and a 79-yearold
AD patient (AD6; MMSE 21; right). (top) SUV PIB
images summed over 40 to 60 minutes; (bottom) 18FDG rCMRglc images (mol/min/100ml). The left column shows lack of PIB retention in the entire gray matter of the HC subject (top left) and normal 18FDG uptake (bottom left). Nonspecific PIB retention is seen in the white matter (top left). The right column shows high PIB retention in the frontal and temporoparietal cortices of the AD patient (top right) and a typical pattern of 18FDG hypometabolism present in the temporoparietal cortex (arrows; bottom right) along with preserved metabolic rate in the frontal cortex. PIB and 18FDG scans were obtained within 3 days of each other.";"66";"disease, pattern, value, and, and, and, and, and, and, between, bottom, bottom, bottom, white matter, patient, patient, rate, gray matter, column, column, column, column, control, difference, each, white, gray, gray, healthy control, high, subject, subject, left, left, left, left, left, marked, metabolic, nonspecific, normal, of each, old, other, over, present, retention, retention, retention, retention, right, right, right, right, standardized uptake value, to, top, top, top, top, uptake, uptake, white, with, within, year";"41";"disease, pattern, value, and, between, bottom, white matter, patient, rate, gray matter, column, column, control, difference, each, white, gray, gray, healthy control, high, subject, left, marked, metabolic, nonspecific, normal, of each, old, other, over, present, retention, right, standardized uptake value, to, top, uptake, white, with, within, year"
"Neuronal process from PDAPP mice that pass through diffuse amyloid show no significant distortions. 
(No differences were observed in the extent of
labeled neurons between control and transgenic mice.)
Scalebar = 25 µm.";"13";"and, process, between, control, diffuse, extent, from, labeled, no, no, observed, pass, significant";"12";"and, process, between, control, diffuse, extent, from, labeled, no, observed, pass, significant"
"stomata";"0";"";"0";""
"The characteristic neurofibrillar pathologies of AD contain tau truncated at Asp421. 
Laser-scanning confocal images of a single NFT from a patient with AD were stained with TauC3 (C) or Thiazin red (D); the latter is a marker for compact filaments. The merged image is shown in E. (Bar=10 Âµm.)";"14";"characteristic, tau, at, patient, contain, image, laser, for, from, or, red, single, with, with";"13";"characteristic, tau, at, patient, contain, image, laser, for, from, or, red, single, with"
"Immunohistochemical staining of senile plaques in serial sections from AD cerebellum for AÃ(mAb 6C6) (a,c), glypican-1 (mAb S1) (b,d).
Glypican-1 was expressed in both non-fibrillar (b) and fibrillar cerebellar senile plaques (d), however only a part of the non-fibrillar plaque was weakly
stained, similar as observed with the anti-agrin mAbs (see also Fig. 1). bar = 25 Âµm.

(Referentie: Accumulation of heparan sulfate proteoglycans in cerebellar senile plaques -- Jack van Horssen, Johanneke Kleinnijenhuis, Cathy N. Maass, Annemieke A.M. Rensinka, Irene Otte-Hollera, Guido David, Lambert P.W.J. van den Heuvel, Pieter Wesseling, Robert M.W. de Waal, Marcel M. Verbeek)";"16";"and, cerebellum, part, as, both, fig, for, from, heparan sulfate, observed, plaque, see, staining, with, glypican, glypican";"15";"and, cerebellum, part, as, both, fig, for, from, heparan sulfate, observed, plaque, see, staining, with, glypican"
"PET sections through the basal ganglia (left) and cerebral cortex (right) of the brain of a female carrier of the Swedish mutation given a tracer dose of 18F-fluorodeoxyglucose. The PET studies were done before cognitive symptoms and 40 months later when cognitive symptoms were present. The colour scale indicates regional cerebral glucose metabolism (rCMRglc; Âµmol/min/100 g): red=high, yellow=medium, and blue=low. Impaired rCMRglc was observed in the parietal cortex at first scan and a progression in the rCMRglc deficits was observed at second scan in the parietal, temporal, and frontal cortices.";"42";"brain, dose, and, and, and, and, and, at, at, cerebral cortex, basal, basal ganglia, scan, scan, blue, female, scale, cognitive, cognitive, first, glucose, high, left, low, medium, medium, observed, observed, parietal, parietal, present, tracer, red, regional, right, second, second, second, swedish, temporal, when, yellow";"33";"brain, dose, and, at, cerebral cortex, basal, basal ganglia, scan, blue, female, scale, cognitive, first, glucose, high, left, low, medium, medium, observed, parietal, present, tracer, red, regional, right, second, second, second, swedish, temporal, when, yellow"
"SsgA-GFP from Phjl401 RA-gfp";"1";"from";"1";"from"
"Top: 11C-PIB standardised uptake value (SUV) images showing a marked difference between the 11C-PIB retention in the brain of a 67-yearold
healthy person (left) and a 79-yearâold AD patient (right). Bottom: 18F-FDG cerebral regional glucose metabolism (rCMRglc; Âµmol/min/100 ml) images . A high retention of PIB was observed in the frontal and tempoparietal cortices of the patients with AD and hypometabolism in rCMRglc. Lack of PIB retention (top left) and normal rCMRglc (bottom left)
was observed in the healthy person. Reproduced with permission from Wiley-Liss Inc.39";"35";"brain, person, person, value, and, and, and, and, between, bottom, bottom, patient, difference, from, glucose, high, left, left, left, marked, normal, observed, observed, old, regional, retention, retention, retention, right, top, top, uptake, with, with, year";"23";"brain, person, value, and, between, bottom, patient, difference, from, glucose, high, left, marked, normal, observed, old, regional, retention, right, top, uptake, with, year"
"MR signal changes and histopathology of AD. AB Note the cortical Hyperintensity in the left medial temporal lobe (white arrows) and insula cortex (black arrows) bilaterally. These signal abnormalities possibly reflect the cortical histopathology of AD. Note also moderate PVH and mild-to-moderate SCL. C: Neurofibrillary tangles (elongated or triangular brown staining structures) and senile plaques (irregular or star-burst brownstaining Structures) in the subiculum (retrocommissural hippocampus) in AD subject labelad with an antibody to TAU proteins. First described by Alzheimer in 1907 (93) neurofibrillary tangles are paired helical and straight filaments (91). Tau proteins -the low molecular weight microtubule-associated proteins of the neuronal cytoskeleton- are building blocks of paired helical filaments. D: Antiserum to beta amyloid protein labels walls of numerous blood vessels as well as senile plaques one of wich is seen as the irregular patch-like brown staining structure in the bottom of the figure. E: Hirano bodies in the hippocampus. The right half of the section is stained with the standard H E dyes. These intraneuronal rod-shaped inclusions are easily seen on the immunostained section (left using antibody to actin and neurofilaments) as brown rod-like structures but they are less evident when stained by routine H E technique Hirano bodies are eosinophillic and more subtle. Hirano bodies primarily arise as a consequence of perturbations of the microfilament system (ie. actin tropomyosin vinculin and aplha actinin).";"101";"cytoskeleton, actin, actin, tau, tau, temporal lobe, and, and, and, and, and, and, and, and, antibody, antibody, antiserum, are, are, are, are, are, protein, as, as, as, as, as, associated, blood, technique, weight, black, bottom, brown, brown, brown, building, microtubule, consequence, section, section, standard, white, first, section, section, half, hippocampus, hippocampus, signal, signal, subject, irregular, irregular, left, left, like, like, lobe, low, medial, mild, moderate, moderate, molecular, system, note, note, one, or, or, patch, right, rod, rod, rod, rod, routine, section, section, staining, staining, standard, structure, subiculum, temporal, to, to, to, to, vinculin, well, when, white, with, with, cytoskeleton, protein, amyloid protein, microtubule";"63";"cytoskeleton, actin, tau, temporal lobe, and, antibody, antiserum, are, protein, as, associated, blood, technique, weight, black, bottom, brown, building, microtubule, consequence, section, standard, white, first, section, half, hippocampus, signal, subject, irregular, left, like, lobe, low, medial, mild, moderate, molecular, system, note, one, or, patch, right, rod, rod, routine, section, staining, standard, structure, subiculum, temporal, to, vinculin, well, when, white, with, cytoskeleton, protein, amyloid protein, microtubule"
"Immunohistochemical staining of senile plaques in serial sections from AD cerebellum for AÃ(mAb 6C6) (a,d), HS GAG side-chains (JM403) (b,e)
and heparitinase-digested HSPG (mAb 3G10) (c,f). JM403 and 3G10 stained both cerebellar non-fibrillar (b,c) and fibrillar senile plaques (e,f). bar = 25 Âµm.

(Referentie: Accumulation of heparan sulfate proteoglycans in cerebellar senile plaques -- Jack van Horssen, Johanneke Kleinnijenhuis, Cathy N. Maass, Annemieke A.M. Rensinka, Irene Otte-Hollera, Guido David, Lambert P.W.J. van den Heuvel, Pieter Wesseling, Robert M.W. de Waal, Marcel M. Verbeek)";"11";"and, and, and, cerebellum, both, for, from, heparan sulfate, side, side, staining";"9";"and, cerebellum, both, for, from, heparan sulfate, side, side, staining"
"Marcel Schaaf data

YFP-GR in COS cells treated with dexamethason";"2";"data, with";"2";"data, with"
"Randomization of microtubule polarity by taxotere allows clustered mitochondria to disperse again. Tau-stable cells were treated with 10 mM taxotere for 6 h, which leads to an altered microtubule organization. Note that the MTOC in taxotere-
treated cells is barely visible in the tubulin stain (b), in contrast to nontreated cells (compare Fig. 2). Microtubules are nucleated randomly throughout the cytoplasm, thus abolishing
the role of the MTOC as an organizing element and therefore abolishing the polarity of microtubules. Minus-endÃdirected motors
are now able to transport mitochondria back to peripheral regions in the tau-stable cells. Cells were fixed in methanol and mitochondria were stained with MitoTrackerÂª Green (a), tubulin
was immunostained with DM1A (b). Bar, 10 mm.";"44";"cytoplasm, tau, tau, and, and, element, are, are, as, back, tubulin, tubulin, microtubule, microtubule, stain, contrast, element, end, fig, for, green, note, now, organization, peripheral, polarity, polarity, randomization, role, stable, stable, to, to, to, to, to, visible, with, with, with, cytoplasm, microtubule, microtubule, transport";"30";"cytoplasm, tau, and, element, are, as, back, tubulin, microtubule, stain, contrast, element, end, fig, for, green, note, now, organization, peripheral, polarity, randomization, role, stable, to, visible, with, cytoplasm, microtubule, transport"
"Enlargement of the temporal horn (also called inferior horn) of the lateral ventricles 1, 2. This enlargement can either be symmetric as well as asymmetric. The higher the rates of ventricular enlargement are in healthy persons, the greater is relative hazard for AD3, 4. When examining the volume of the temporal horn, age should be taken into account, because the size of the temporal horn increases with increasing age 5.
Yearly measurements of  the temporal horn in alzheimer patients have shown a 14.16 /-8.47 percentage increase per year (p = 0.002)6. 
Enlargement of the temporal horn is caused by atrophy in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe.";"44";"age, age, atrophy, temporal lobe, amygdala, relative, and, and, are, as, as, be, be, increase, can, volume, enlargement, enlargement, enlargement, enlargement, size, for, greater, hazard, inferior, into, lateral, lobe, per, per year, percentage, volume, taken, temporal, temporal, temporal, temporal, temporal, temporal, ventricular, well, when, with, year";"32";"age, atrophy, temporal lobe, amygdala, relative, and, are, as, be, increase, can, volume, enlargement, size, for, greater, hazard, inferior, into, lateral, lobe, per, per year, percentage, volume, taken, temporal, ventricular, well, when, with, year"
"white matter hyperintensities (WMH) are seen in AD33.WMH appear due an increased signal on T2-weighted and fluid-attenuated inversion recovery (FLAIR) MRI sequences of the brain.WMH are common to the periventricular area of the cognitive normal and cognitive impaired individuals. But the highest intensities are found in AD33.";"23";"brain, and, and, are, are, are, area, attenuated, white matter, cognitive, cognitive, common, due, white, fluid, highest, signal, inversion, normal, recovery, recovery, to, white";"19";"brain, and, are, area, attenuated, white matter, cognitive, common, due, white, fluid, highest, signal, inversion, normal, recovery, recovery, to, white"
"Reference: 
Bosch et al. The Sphincter of Oddi. Dig Dis Sci (2007) 52:1211â1218.

Figure 1:
Anatomy of the papilla with the pancreatic duct (PD) and the common bile duct (CBD) fused as they follow a variable course through the submucosal layer of the duodenum to form the common channel.";"24";"duct, duct, and, as, duodenum, bile, bile duct, reference, form, channel, layer, common, common, common bile duct, course, pancreatic duct, follow, pancreatic, sphincter, sphincter of oddi, submucosal, to, variable, with";"22";"duct, and, as, duodenum, bile, bile duct, reference, form, channel, layer, common, common bile duct, course, pancreatic duct, follow, pancreatic, sphincter, sphincter of oddi, submucosal, to, variable, with"
"Cryo-EM micrograph of 50S
200KeV";"0";"";"0";""
"Calliphora erythrocephala (blue bottle fly) Transmission electron microscopic iimage of the apical portion of a midgut epithelial cell, showing microvilli, mitochondria, endoplasmic reticulum, microtubules, free ribosomes, lysosomes, vesicular Golgi, and membrane bounded bodies, including multivesicular bodies, interpreted as early stages of autophagy.";"22";"endoplasmic reticulum, epithelial cell, and, cell, apical, bottle, as, autophagy, membrane, blue, cell, early, electron, epithelial, transmission, microscopic, midgut, transmission, autophagy, membrane, endoplasmic reticulum, cell";"22";"endoplasmic reticulum, epithelial cell, and, cell, apical, bottle, as, autophagy, membrane, blue, cell, early, electron, epithelial, transmission, microscopic, midgut, transmission, autophagy, membrane, endoplasmic reticulum, cell"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3B:
Conventional portal triad containing 1 bile duct, 1 hepatic artery, and 3 portal veins. Magnification x1,000.";"21";"human, liver, artery, adult, duct, and, bile, bile duct, reference, reference, biopsy, standard, quantitative, hepatic, hepatic artery, liver biopsy, normal, portal, portal, portal triad, standard";"19";"human, liver, artery, adult, duct, and, bile, bile duct, reference, biopsy, standard, quantitative, hepatic, hepatic artery, liver biopsy, normal, portal, portal triad, standard"
"Three-dimensional maps of the subcortical mean diffusivity (MD) for one healthy, elderly subject and two Alzheimerâs disease (AD) patients. Corresponding surface anatomic images are also shown as a reference. Compared with a healthy subject (a 69-year-old female) (a), abnormal MD elevation is seen in the bilateral parietal regions and left temporal and occipital regions in an AD patient (a 57-year-old female; MMSE score = 22) (b). The bilateral frontal lobes are also mildly involved. In a more advanced AD patient (a 76-year-old male; mini-mental state examination score = 13), severe involvement of the bilateral parietal, temporal, and occipital regions is seen (c). Note that the pericentral regions are clearly spared in both patients. The MD values are indicated in 10â3 mm2/s.";"53";"disease, abnormal, advanced, anatomic, and, and, and, and, are, are, are, are, as, score, score, bilateral, bilateral, bilateral, reference, both, patient, patient, female, female, male, state, elderly, elevation, for, mean, surface, healthy subject, subject, subject, involvement, left, note, old, old, old, one, parietal, parietal, severe, state, temporal, temporal, three, two, with, year, year, year";"35";"disease, abnormal, advanced, anatomic, and, are, as, score, bilateral, reference, both, patient, female, male, state, elderly, elevation, for, mean, surface, healthy subject, subject, involvement, left, note, old, one, parietal, severe, state, temporal, three, two, with, year"
"Axial proton density MRI showing white matter lesions and ratings: (A) normal control (PVH score=0 WMH score=0) (B) patient with vascular dementia (PVH: frontal caps=2, occipital caps=2 WMH frontal=5, parietal=6). (C) patient
with pathologically confirmed dementia with Lewy bodies (PVH: frontal caps=2, occipital caps=1 WMH frontal=2,
parietal=3) (D) patient with pathologically confirmed Alzheimerâs disease bodies (PVH: frontal caps=2, occipital caps=2
WMH frontal=6, parietal=6).";"28";"disease, dementia, dementia, dementia, dementia, and, axial, score, score, white matter, patient, patient, patient, control, density, white, vascular dementia, normal, parietal, parietal, parietal, proton, vascular, white, with, with, with, with";"18";"disease, dementia, dementia, and, axial, score, white matter, patient, control, density, white, vascular dementia, normal, parietal, proton, vascular, white, with"
"Measurement of hippocampal volumes using T1-weighted 3D spoiled gradient-recalled echo sequence in 70-year-old woman at time of initial diagnosis of mild cognitive impairment. This patient progressed to dementia over 43-month follow-up period. Comparison of these images with those shown in Figure 4 shows possible use
of volumetric imaging to predict subsequent course. (Reprinted with permission from [28])
A, Unenhanced coronal T1-weighted image shows relatively decreased volume in body of hippocampus. Boundary used for hippocampal measurement is outlined in white. Note that compared with patient shown in Figure 4A, hippocampal volume is decreased even though this patient is 5 years younger than patient shown in Figure 4.
B, Unenhanced coronal T1-weighted image at region more anterior than that shown in A also shows decreased volume in head of hippocampus. Boundary used for hippocampal measurement is outlined in white. Again, size of hippocampus in this patient is decreased compared with patient who did not progress to dementia, as shown in Figure 4B.";"68";"dementia, dementia, dementia, dementia, period, anterior, as, at, at, head, time, body, diagnosis, patient, patient, patient, patient, patient, patient, comparison, cognitive, region, sequence, course, volume, volume, volume, image, image, white, white, size, follow, follow-up, for, for, from, gradient, hippocampus, hippocampus, hippocampus, impairment, measurement, measurement, measurement, mild, month, note, old, over, possible, progress, volume, volume, volume, to, to, to, use, use, white, white, with, with, with, with, woman, year";"43";"dementia, dementia, period, anterior, as, at, head, time, body, diagnosis, patient, comparison, cognitive, region, sequence, course, volume, image, white, size, follow, follow-up, for, from, gradient, hippocampus, impairment, measurement, mild, month, note, old, over, possible, progress, volume, to, use, use, white, with, woman, year"
"Mutations in the A?-encoding region of the amyloid precursor protein (APP) gene are frequently associated with very severe forms of vascular A? deposition, sometimes also accompanied by AD pathology. In this cartoon are shown the position of APP mutations in relation to its major cleavage sites and A?. Other mutations can be assed on frequently updated databases http://www.molgen.ua.ac.be/ADMutations/";"22";"gene, and, are, are, protein, associated, be, be, pathology, can, region, frequently, frequently, major, other, precursor, severe, sometimes, to, vascular, with, protein";"19";"gene, and, are, protein, associated, be, pathology, can, region, frequently, major, other, precursor, severe, sometimes, to, vascular, with, protein"
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 9A:
Expression of GS in serial sections of the liver of an untreated GRU/RPII mouse. GS mRNA identifies the hepatocytes surrounding the central vein.";"18";"gene, liver, liver, gene expression, and, vein, model, development, central vein, development, expression, expression, for, maintenance, model, mouse, surrounding, gene expression";"16";"gene, liver, gene expression, and, vein, model, development, central vein, development, expression, for, maintenance, model, mouse, surrounding, gene expression"
"Treatment of cortical neurons with fibrillar A induces tau proteolysis at Asp421.
Tau proteolysis at Asp421 is an early event in AÃ-induced neuronal apoptosis. Primary cortical neurons were treated with 20 ÂµM A for 0â12 h, and TauC3-negative (black bars) or TauC3-positive neurons (hatched bars) were scored for apoptosis by nuclear morphology (mean Â± SEM).";"27";"apoptosis, apoptosis, proteolysis, proteolysis, tau, tau, and, at, at, event, black, morphology, early, for, for, mean, negative, nuclear, or, positive, primary, with, with, apoptosis, apoptosis, proteolysis, proteolysis";"19";"apoptosis, proteolysis, tau, and, at, event, black, morphology, early, for, mean, negative, nuclear, or, positive, primary, with, apoptosis, proteolysis"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3E:
Portal tracts with hepatic artery and portal vein. Magnifications x1,000.";"20";"human, liver, artery, adult, and, vein, reference, reference, biopsy, standard, quantitative, hepatic, hepatic artery, liver biopsy, normal, portal, portal, portal vein, standard, with";"18";"human, liver, artery, adult, and, vein, reference, biopsy, standard, quantitative, hepatic, hepatic artery, liver biopsy, normal, portal, portal vein, standard, with"
